Campaign_ID,Date,Campaign_Name,Channel,Campaign_Type,Impressions,Clicks,Leads,Conversions,Ad_Spend,Revenue_Generated,Customers_Acquired,CTR,Conversion_Rate,CPC,CAC,ROAS
C001,2026-01-05,Winter Sale,Google Ads,Search,120000.0,7200.0,950.0,310.0,85000.0,265000.0,280.0,6.0,4.31,11.81,303.57,3.12
C002,2026-01-10,New Year Push,Facebook,Social,180000.0,6300.0,820.0,245.0,65000.0,195000.0,220.0,3.5,3.89,10.32,295.45,3.0
C003,2026-01-15,Product Launch,Instagram,Social,220000.0,9900.0,1250.0,420.0,95000.0,340000.0,390.0,4.5,4.24,9.6,243.59,3.58
C004,2026-02-02,Search Brand,Google Ads,Search,90000.0,8100.0,1100.0,500.0,70000.0,420000.0,470.0,9.0,6.17,8.64,148.94,6.0
C005,2026-02-08,Email Reactivation,Email,Retention,75000.0,5250.0,1150.0,380.0,30000.0,210000.0,350.0,7.0,7.24,5.71,85.71,7.0
C006,2026-02-15,Spring Campaign,Facebook,Social,200000.0,7600.0,980.0,300.0,72000.0,225000.0,270.0,3.8,3.95,9.47,266.67,3.13
C007,2026-03-01,March Search,Google Ads,Search,150000.0,10500.0,1400.0,610.0,105000.0,520000.0,570.0,7.0,5.81,10.0,184.21,4.95
C008,2026-03-07,Influencer Push,Instagram,Influencer,130000.0,8450.0,760.0,210.0,55000.0,160000.0,195.0,6.5,2.49,6.51,282.05,2.91
C009,2026-01-05,Winter Sale,Google Ads,Search,137321.428571429,8983.92857142857,1094.64285714286,406.428571428571,65750.0,309821.428571429,379.285714285714,6.81785714285714,4.605,6.75642857142857,188.729285714286,4.63607142857143
C010,2026-01-10,New Year Push,Facebook,Social,135476.19047619,9222.02380952381,1104.28571428571,414.107142857143,64333.3333333333,313809.523809524,387.321428571429,7.01904761904762,4.57,6.25619047619047,180.386071428571,4.73047619047619
C011,2026-01-15,Product Launch,Instagram,Social,133630.952380952,9460.11904761905,1113.92857142857,421.785714285714,62916.6666666666,317797.619047619,395.357142857143,7.22023809523809,4.535,5.75595238095238,172.042857142857,4.82488095238095
C012,2026-02-02,Search Brand,Google Ads,Search,131785.714285714,9698.21428571429,1123.57142857143,429.464285714286,61500.0,321785.714285714,403.392857142857,7.42142857142857,4.5,5.25571428571428,163.699642857143,4.91928571428571
C013,2026-02-08,Email Reactivation,Email,Retention,129940.476190476,9936.30952380953,1133.21428571429,437.142857142857,60083.3333333333,325773.809523809,411.428571428571,7.62261904761905,4.465,4.75547619047619,155.356428571429,5.01369047619047
C014,2026-02-15,Spring Campaign,Facebook,Social,128095.238095238,10174.4047619048,1142.85714285714,444.821428571429,58666.6666666666,329761.904761905,419.464285714286,7.82380952380952,4.43,4.2552380952381,147.013214285714,5.10809523809523
C015,2026-03-01,March Search,Google Ads,Search,126250.0,10412.5,1152.5,452.5,57250.0,333750.0,427.5,8.025,4.395,3.755,138.67,5.2025
C016,2026-03-07,Influencer Push,Instagram,Influencer,124404.761904762,10650.5952380952,1162.14285714286,460.178571428571,55833.3333333333,337738.095238095,435.535714285714,8.22619047619047,4.36,3.2547619047619,130.326785714286,5.29690476190476
C017,2026-01-05,Winter Sale,Google Ads,Search,122559.523809524,10888.6904761905,1171.78571428571,467.857142857143,54416.6666666666,341726.19047619,443.571428571429,8.42738095238095,4.325,2.75452380952381,121.983571428572,5.39130952380952
C018,2026-01-10,New Year Push,Facebook,Social,120714.285714286,11126.7857142857,1181.42857142857,475.535714285714,53000.0,345714.285714286,451.607142857143,8.62857142857143,4.29,2.25428571428571,113.640357142857,5.48571428571428
C019,2026-01-15,Product Launch,Instagram,Social,118869.047619048,11364.8809523809,1191.07142857143,483.214285714286,51583.3333333333,349702.380952381,459.642857142857,8.8297619047619,4.255,1.75404761904763,105.297142857143,5.58011904761904
C020,2026-02-02,Search Brand,Google Ads,Search,117023.80952381,11602.9761904762,1200.71428571429,490.892857142857,50166.6666666666,353690.476190476,467.678571428571,9.03095238095238,4.22,1.25380952380952,96.953928571429,5.6745238095238
C021,2026-02-08,Email Reactivation,Email,Retention,115178.571428571,11841.0714285714,1210.35714285714,498.571428571428,48750.0,357678.571428571,475.714285714286,9.23214285714286,4.185,0.753571428571435,88.610714285714,5.76892857142857
C022,2026-02-15,Spring Campaign,Facebook,Social,113333.333333333,12079.1666666667,1220.0,506.25,47333.3333333333,361666.666666667,483.75,9.43333333333333,4.15,0.253333333333334,80.2675,5.86333333333333
C023,2026-03-01,March Search,Google Ads,Search,111488.095238095,12317.2619047619,1229.64285714286,513.928571428571,45916.6666666666,365654.761904762,491.785714285714,9.63452380952381,4.115,-0.246904761904766,71.924285714286,5.95773809523809
C024,2026-03-07,Influencer Push,Instagram,Influencer,109642.857142857,12555.3571428571,1239.28571428571,521.607142857143,44500.0,369642.857142857,499.821428571429,9.83571428571428,4.08,-0.747142857142865,63.581071428572,6.05214285714285
C025,2026-01-05,Winter Sale,Google Ads,Search,107797.619047619,12793.4523809524,1248.92857142857,529.285714285714,43083.3333333333,373630.952380952,507.857142857143,10.0369047619048,4.045,-1.24738095238096,55.237857142857,6.14654761904761
C026,2026-01-10,New Year Push,Facebook,Social,105952.380952381,13031.5476190476,1258.57142857143,536.964285714286,41666.6666666666,377619.047619047,515.892857142857,10.2380952380952,4.01,-1.74761904761906,46.894642857143,6.24095238095238
C027,2026-01-15,Product Launch,Instagram,Social,104107.142857143,13269.6428571429,1268.21428571429,544.642857142857,40250.0,381607.142857143,523.928571428571,10.4392857142857,3.975,-2.24785714285717,38.551428571429,6.33535714285714
C028,2026-02-02,Search Brand,Google Ads,Search,102261.904761905,13507.7380952381,1277.85714285714,552.321428571428,38833.3333333333,385595.238095238,531.964285714286,10.6404761904762,3.94,-2.74809523809527,30.208214285715,6.4297619047619
C029,2026-02-08,Email Reactivation,Email,Retention,100416.666666667,13745.8333333333,1287.5,560.0,37416.6666666666,389583.333333334,540.0,10.8416666666667,3.905,-3.24833333333337,21.865,6.52416666666666
C030,2026-02-15,Spring Campaign,Facebook,Social,98571.4285714286,13983.9285714286,1297.14285714286,567.678571428571,36000.0,393571.428571429,548.035714285714,11.0428571428571,3.87,-3.74857142857146,13.521785714286,6.61857142857142
C031,2026-03-01,March Search,Google Ads,Search,96726.1904761905,14222.0238095238,1306.78571428571,575.357142857143,34583.3333333333,397559.523809524,556.071428571429,11.2440476190476,3.835,-4.24880952380957,5.17857142857196,6.71297619047618
C032,2026-03-07,Influencer Push,Instagram,Influencer,94880.9523809524,14460.119047619,1316.42857142857,583.035714285714,33166.6666666666,401547.619047619,564.107142857143,11.4452380952381,3.8,-4.74904761904767,-3.16464285714301,6.80738095238095
C033,2026-01-05,Winter Sale,Google Ads,Search,93035.7142857143,14698.2142857143,1326.07142857143,590.714285714286,31750.0,405535.714285714,572.142857142857,11.6464285714286,3.765,-5.24928571428566,-11.507857142857,6.90178571428571
C034,2026-01-10,New Year Push,Facebook,Social,91190.4761904762,14936.3095238095,1335.71428571429,598.392857142857,30333.3333333333,409523.80952381,580.178571428571,11.8476190476191,3.73,-5.74952380952377,-19.8510714285711,6.99619047619047
C035,2026-01-15,Product Launch,Instagram,Social,89345.2380952381,15174.4047619048,1345.35714285714,606.071428571428,28916.6666666666,413511.904761905,588.214285714286,12.0488095238095,3.695,-6.24976190476187,-28.1942857142851,7.09059523809523
C036,2026-02-02,Search Brand,Google Ads,Search,87500.0,15412.5,1355.0,613.75,27500.0,417500.0,596.25,12.25,3.66,-6.74999999999997,-36.5375,7.18499999999999
C037,2026-02-08,Email Reactivation,Email,Retention,85654.7619047619,15650.5952380952,1364.64285714286,621.428571428571,26083.3333333333,421488.095238095,604.285714285714,12.4511904761905,3.625,-7.25023809523807,-44.880714285714,7.27940476190476
C038,2026-02-15,Spring Campaign,Facebook,Social,83809.5238095238,15888.6904761905,1374.28571428571,629.107142857143,24666.6666666666,425476.190476191,612.321428571429,12.652380952381,3.59,-7.75047619047617,-53.223928571428,7.37380952380952
C039,2026-03-01,March Search,Google Ads,Search,81964.2857142857,16126.7857142857,1383.92857142857,636.785714285714,23250.0,429464.285714286,620.357142857143,12.8535714285714,3.555,-8.25071428571427,-61.567142857142,7.46821428571428
C040,2026-03-07,Influencer Push,Instagram,Influencer,80119.0476190476,16364.8809523809,1393.57142857143,644.464285714285,21833.3333333333,433452.380952381,628.392857142857,13.0547619047619,3.52,-8.75095238095236,-69.910357142857,7.56261904761904
C041,2026-01-05,Winter Sale,Google Ads,Search,78273.8095238095,16602.9761904762,1403.21428571429,652.142857142857,20416.6666666666,437440.476190476,636.428571428571,13.2559523809524,3.485,-9.25119047619046,-78.253571428571,7.6570238095238
C042,2026-01-10,New Year Push,Facebook,Social,76428.5714285714,16841.0714285714,1412.85714285714,659.821428571428,19000.0,441428.571428572,644.464285714286,13.4571428571429,3.45,-9.75142857142856,-86.596785714285,7.75142857142856
C043,2026-01-15,Product Launch,Instagram,Social,74583.3333333333,17079.1666666667,1422.5,667.5,17583.3333333333,445416.666666667,652.5,13.6583333333333,3.415,-10.2516666666667,-94.9400000000001,7.84583333333333
C044,2026-02-02,Search Brand,Google Ads,Search,72738.0952380952,17317.2619047619,1432.14285714286,675.178571428571,16166.6666666666,449404.761904762,660.535714285714,13.8595238095238,3.38,-10.7519047619048,-103.283214285714,7.94023809523809
C045,2026-02-08,Email Reactivation,Email,Retention,70892.8571428571,17555.3571428572,1441.78571428572,682.857142857143,14750.0,453392.857142857,668.571428571429,14.0607142857143,3.345,-11.2521428571429,-111.626428571428,8.03464285714285
C046,2026-02-15,Spring Campaign,Facebook,Social,69047.619047619,17793.4523809524,1451.42857142857,690.535714285714,13333.3333333333,457380.952380953,676.607142857143,14.2619047619048,3.31,-11.752380952381,-119.969642857142,8.12904761904761
C047,2026-03-01,March Search,Google Ads,Search,67202.3809523809,18031.5476190477,1461.07142857143,698.214285714285,11916.6666666666,461369.047619048,684.642857142857,14.4630952380952,3.275,-12.2526190476191,-128.312857142857,8.22345238095237
C048,2026-03-07,Influencer Push,Instagram,Influencer,65357.1428571428,18269.6428571429,1470.71428571429,705.892857142857,10500.0,465357.142857143,692.678571428571,14.6642857142857,3.24,-12.7528571428572,-136.656071428571,8.31785714285714
C049,2026-01-05,Winter Sale,Google Ads,Search,63511.9047619047,18507.7380952381,1480.35714285714,713.571428571428,9083.33333333333,469345.238095238,700.714285714286,14.8654761904762,3.205,-13.2530952380953,-144.999285714285,8.4122619047619
C050,2026-01-10,New Year Push,Facebook,Social,61666.6666666667,18745.8333333334,1490.0,721.25,7666.66666666663,473333.333333333,708.75,15.0666666666667,3.17,-13.7533333333334,-153.3425,8.50666666666666
C051,2026-01-15,Product Launch,Instagram,Social,59821.4285714286,18983.9285714286,1499.64285714286,728.928571428571,6250.00000000003,477321.428571429,716.785714285714,15.2678571428571,3.135,-14.2535714285715,-161.685714285714,8.60107142857142
C052,2026-02-02,Search Brand,Google Ads,Search,57976.1904761905,19222.0238095238,1509.28571428572,736.607142857143,4833.33333333333,481309.523809524,724.821428571428,15.4690476190476,3.1,-14.7538095238096,-170.028928571428,8.69547619047618
C053,2026-02-08,Email Reactivation,Email,Retention,56130.9523809524,19460.1190476191,1518.92857142857,744.285714285714,3416.66666666663,485297.619047619,732.857142857143,15.6702380952381,3.065,-15.2540476190477,-178.372142857142,8.78988095238095
C054,2026-02-15,Spring Campaign,Facebook,Social,54285.7142857143,19698.2142857143,1528.57142857143,751.964285714285,2000.00000000003,489285.714285714,740.892857142857,15.8714285714285,3.03,-15.7542857142857,-186.715357142857,8.88428571428571
C055,2026-03-01,March Search,Google Ads,Search,52440.4761904762,19936.3095238096,1538.21428571429,759.642857142857,583.333333333328,493273.80952381,748.928571428571,16.072619047619,2.995,-16.2545238095238,-195.058571428571,8.97869047619047
C056,2026-03-07,Influencer Push,Instagram,Influencer,50595.2380952383,20174.4047619048,1547.85714285714,767.321428571428,-833.333333333372,497261.904761905,756.964285714286,16.2738095238095,2.96,-16.7547619047619,-203.401785714285,9.07309523809523
C057,2026-01-05,Winter Sale,Google Ads,Search,48750.0000000003,20412.5,1557.5,775.0,-2249.99999999997,501250.0,765.0,16.475,2.925,-17.255,-211.745,9.16749999999999
C058,2026-01-10,New Year Push,Facebook,Social,46904.7619047623,20650.5952380953,1567.14285714286,782.678571428571,-3666.66666666667,505238.095238095,773.035714285714,16.6761904761904,2.89,-17.7552380952381,-220.088214285714,9.26190476190475
C059,2026-01-15,Product Launch,Instagram,Social,45059.5238095243,20888.6904761905,1576.78571428572,790.357142857143,-5083.33333333337,509226.190476191,781.071428571428,16.8773809523809,2.855,-18.2554761904762,-228.431428571428,9.35630952380952
C060,2026-02-02,Search Brand,Google Ads,Search,43214.2857142853,21126.7857142857,1586.42857142857,798.035714285714,-6499.99999999997,513214.285714286,789.107142857143,17.0785714285714,2.82,-18.7557142857143,-236.774642857142,9.45071428571428
C061,2026-02-08,Email Reactivation,Email,Retention,41369.0476190473,21364.880952381,1596.07142857143,805.714285714285,-7916.66666666667,517202.380952381,797.142857142857,17.2797619047619,2.785,-19.2559523809524,-245.117857142857,9.54511904761904
C062,2026-02-15,Spring Campaign,Facebook,Social,39523.8095238093,21602.9761904762,1605.71428571429,813.392857142857,-9333.33333333337,521190.476190476,805.178571428571,17.4809523809524,2.75,-19.7561904761905,-253.461071428571,9.6395238095238
C063,2026-03-01,March Search,Google Ads,Search,37678.5714285713,21841.0714285715,1615.35714285714,821.071428571428,-10750.0,525178.571428571,813.214285714286,17.6821428571428,2.715,-20.2564285714286,-261.804285714285,9.73392857142856
C064,2026-03-07,Influencer Push,Instagram,Influencer,35833.3333333333,22079.1666666667,1625.0,828.75,-12166.6666666667,529166.666666667,821.25,17.8833333333333,2.68,-20.7566666666667,-270.147499999999,9.82833333333333
C065,2026-01-05,Winter Sale,Google Ads,Search,33988.0952380953,22317.2619047619,1634.64285714286,836.428571428571,-13583.3333333334,533154.761904762,829.285714285714,18.0845238095238,2.645,-21.2569047619048,-278.490714285714,9.92273809523809
C066,2026-01-10,New Year Push,Facebook,Social,32142.8571428573,22555.3571428572,1644.28571428572,844.107142857143,-15000.0,537142.857142857,837.321428571429,18.2857142857143,2.61,-21.7571428571429,-286.833928571428,10.0171428571429
C067,2026-01-15,Product Launch,Instagram,Social,30297.6190476193,22793.4523809524,1653.92857142857,851.785714285714,-16416.6666666667,541130.952380952,845.357142857143,18.4869047619047,2.575,-22.257380952381,-295.177142857142,10.1115476190476
C068,2026-02-02,Search Brand,Google Ads,Search,28452.3809523813,23031.5476190476,1663.57142857143,859.464285714285,-17833.3333333334,545119.047619048,853.392857142857,18.6880952380952,2.54,-22.7576190476191,-303.520357142857,10.2059523809524
C069,2026-02-08,Email Reactivation,Email,Retention,26607.1428571433,23269.6428571429,1673.21428571429,867.142857142857,-19250.0,549107.142857143,861.428571428571,18.8892857142857,2.505,-23.2578571428572,-311.863571428571,10.3003571428571
C070,2026-02-15,Spring Campaign,Facebook,Social,24761.9047619043,23507.7380952381,1682.85714285714,874.821428571428,-20666.6666666667,553095.238095238,869.464285714286,19.0904761904762,2.47,-23.7580952380953,-320.206785714285,10.3947619047619
C071,2026-03-01,March Search,Google Ads,Search,22916.6666666663,23745.8333333334,1692.5,882.5,-22083.3333333334,557083.333333333,877.5,19.2916666666666,2.435,-24.2583333333334,-328.549999999999,10.4891666666667
C072,2026-03-07,Influencer Push,Instagram,Influencer,21071.4285714283,23983.9285714286,1702.14285714286,890.178571428571,-23499.9999999997,561071.428571429,885.535714285714,19.4928571428571,2.4,-24.7585714285715,-336.893214285714,10.5835714285714
C073,2026-01-05,Winter Sale,Google Ads,Search,19226.1904761903,24222.0238095238,1711.78571428572,897.857142857142,-24916.6666666667,565059.523809524,893.571428571428,19.6940476190476,2.365,-25.2588095238096,-345.236428571428,10.6779761904762
C074,2026-01-10,New Year Push,Facebook,Social,17380.9523809523,24460.1190476191,1721.42857142857,905.535714285714,-26333.3333333337,569047.619047619,901.607142857143,19.8952380952381,2.33,-25.7590476190477,-353.579642857142,10.7723809523809
C075,2026-01-15,Product Launch,Instagram,Social,15535.7142857143,24698.2142857143,1731.07142857143,913.214285714285,-27749.9999999997,573035.714285714,909.642857142857,20.0964285714285,2.295,-26.2592857142857,-361.922857142857,10.8667857142857
C076,2026-02-02,Search Brand,Google Ads,Search,13690.4761904763,24936.3095238096,1740.71428571429,920.892857142857,-29166.6666666667,577023.809523809,917.678571428571,20.297619047619,2.26,-26.7595238095238,-370.266071428571,10.9611904761905
