Campaign_ID,Campaign,Date,Channel,Region,Impressions,Clicks,Leads,Conversions,Customers_Acquired,Marketing_Spend,Sales,Profit,ROI,ROAS
CAM001,Summer Sale,2026-01-05,Facebook,South,25000,1250,320,85,72,15000,48000,18000,120.0,3.2
CAM002,Winter Offer,2026-01-06,Google Ads,North,30000,1600,410,110,95,18000,62000,25000,138.89,3.44
CAM003,New Product Launch,2026-01-07,Instagram,West,22000,1100,280,70,61,12000,42000,17000,141.67,3.5
CAM004,Brand Awareness,2026-01-08,YouTube,East,45000,900,190,45,39,20000,35000,10000,50.0,1.75
CAM005,Festival Campaign,2026-01-09,Facebook,South,38000,2100,520,145,128,22000,78000,32000,145.45,3.55
CAM006,Email Promotion,2026-01-10,Email,North,18000,2400,680,190,172,8000,55000,30000,375.0,6.88
CAM007,Retargeting,2026-01-11,Google Ads,West,27000,1800,460,125,108,14000,68000,36000,257.14,4.86
CAM008,Product Discount,2026-01-12,Instagram,East,24000,1350,350,92,80,11000,45000,21000,190.91,4.09
CAM009,Holiday Promotion,2026-01-13,Facebook,North,42000,2300,590,165,148,24000,85000,39000,162.5,3.54
CAM010,Customer Reactivation,2026-01-14,Email,South,16000,1900,550,175,160,7000,62000,40000,571.43,8.86
CAM011,Flash Sale,2026-01-15,Google Ads,East,35000,2500,620,180,155,19000,72000,31000,163.16,3.79
CAM012,Referral Campaign,2026-01-16,Referral,West,12000,800,240,95,88,5000,38000,24000,480.0,7.6
CAM013,Spring Promotion,2026-01-17,Instagram,South,28000,1450,390,105,92,13000,52000,25000,192.31,4.0
CAM014,Clearance Sale,2026-01-18,Facebook,East,32000,1750,430,120,104,16000,60000,27000,168.75,3.75
CAM015,Loyalty Campaign,2026-01-19,Email,North,15000,2200,720,210,195,6500,70000,45000,692.31,10.77
