Age,Income,CreditScore,LoanAmount,EmploymentYears,ExistingLoans,Education,PropertyArea,Loan_Approved
25,35000,580,150000,2,1,Graduate,Urban,0
32,55000,720,250000,6,0,Graduate,Urban,1
45,75000,780,400000,12,1,Graduate,Urban,1
28,42000,610,200000,3,1,Graduate,Semiurban,0
52,90000,810,500000,18,0,Postgraduate,Urban,1
24,30000,550,120000,1,2,Graduate,Rural,0
35,60000,690,300000,8,1,Graduate,Semiurban,1
41,68000,740,350000,10,0,Postgraduate,Urban,1
29,38000,590,180000,4,2,Graduate,Rural,0
48,85000,800,450000,15,0,Postgraduate,Urban,1
31,47000,650,220000,5,1,Graduate,Semiurban,1
26,32000,570,140000,2,2,Graduate,Rural,0
39,72000,730,320000,9,0,Graduate,Urban,1
55,95000,820,600000,20,0,Postgraduate,Urban,1
23,28000,540,100000,1,2,Graduate,Rural,0
34,52000,680,270000,7,1,Graduate,Semiurban,1
43,65000,700,330000,11,1,Graduate,Urban,1
30,40000,600,190000,3,2,Graduate,Rural,0
50,88000,790,480000,17,0,Postgraduate,Urban,1
27,36000,620,160000,2,1,Graduate,Semiurban,0
37,58000,710,280000,8,1,Graduate,Urban,1
46,78000,760,390000,13,0,Postgraduate,Urban,1
22,26000,530,90000,1,2,Graduate,Rural,0
33,49000,660,230000,6,1,Graduate,Semiurban,1
40,70000,750,340000,10,0,Postgraduate,Urban,1
29,35000,580,170000,3,2,Graduate,Rural,0
51,92000,810,520000,19,0,Postgraduate,Urban,1
36,55000,670,260000,7,1,Graduate,Semiurban,1
25,31000,560,130000,1,2,Graduate,Rural,0
44,74000,770,370000,12,0,Postgraduate,Urban,1
38,62000,720,310000,9,1,Graduate,Urban,1
27,33000,590,150000,2,2,Graduate,Rural,0
49,86000,800,460000,16,0,Postgraduate,Urban,1
35,51000,640,240000,6,1,Graduate,Semiurban,1
23,29000,545,110000,1,2,Graduate,Rural,0
42,69000,735,360000,11,0,Graduate,Urban,1
31,45000,630,210000,4,1,Graduate,Semiurban,0
54,91000,815,550000,21,0,Postgraduate,Urban,1
28,37000,600,175000,3,2,Graduate,Rural,0
47,82000,785,430000,14,0,Postgraduate,Urban,1
