Order_ID,Order_Date,Customer_ID,Product_ID,Product_Name,Category,Region,Quantity,Unit_Price,Discount,Revenue,Cost,Profit,Order_Status,Payment_Status
ORD10001,01-01-2025,CUST1058,PROD001,Laptop,Electronics,West,1,50000,0,50000,35000,15000,Completed,Paid
ORD10002,01-01-2025,CUST1347,PROD012,Coffee Maker,Home & Kitchen,Central,1,7500,0,7500,4000,3500,Completed,Paid
ORD10003,01-01-2025,CUST1048,PROD004,Smart Watch,Electronics,North,2,14000,0,28000,16000,12000,Completed,Paid
ORD10004,01-01-2025,CUST1367,PROD011,Leather Formal Shoes,Footwear,Central,1,6500,0,6500,3000,3500,Completed,Paid
ORD10005,01-01-2025,CUST1415,PROD014,Backpack,Accessories,South,2,2200,0,4400,1800,2600,Completed,Paid
ORD10006,01-01-2025,CUST1175,PROD005,Office Chair,Furniture,North,1,15000,1500,13500,9000,4500,Completed,Paid
ORD10007,01-01-2025,CUST1048,PROD007,Bookshelf,Furniture,South,1,8500,0,8500,5000,3500,Completed,Paid
ORD10008,01-01-2025,CUST1414,PROD001,Laptop,Electronics,East,2,50000,15000,85000,70000,15000,Completed,Paid
ORD10009,01-01-2025,CUST1041,PROD009,Denim Jeans,Apparel,West,3,2800,420,7980,3600,4380,Completed,Paid
ORD10010,02-01-2025,CUST1099,PROD012,Coffee Maker,Home & Kitchen,South,1,7500,0,7500,4000,3500,Completed,Paid
ORD10011,02-01-2025,CUST1041,PROD014,Backpack,Accessories,North,3,2200,0,6600,2700,3900,Completed,Paid
ORD10012,02-01-2025,CUST1326,PROD014,Backpack,Accessories,West,1,2200,0,2200,900,1300,Pending,Paid
ORD10013,02-01-2025,CUST1360,PROD011,Leather Formal Shoes,Footwear,South,2,6500,0,13000,6000,7000,Pending,Pending
ORD10014,02-01-2025,CUST1084,PROD008,Cotton T-Shirt Pack,Apparel,East,1,1500,225,1275,600,675,Pending,Pending
ORD10015,02-01-2025,CUST1351,PROD006,Standing Desk,Furniture,South,1,22000,0,22000,14000,8000,Completed,Paid
ORD10016,02-01-2025,CUST1206,PROD005,Office Chair,Furniture,South,1,15000,2250,12750,9000,3750,Pending,Paid
ORD10017,02-01-2025,CUST1109,PROD011,Leather Formal Shoes,Footwear,East,1,6500,975,5525,3000,2525,Completed,Paid
ORD10018,03-01-2025,CUST1136,PROD003,Wireless Headphones,Electronics,North,2,6000,600,11400,7000,4400,Pending,Paid
ORD10019,03-01-2025,CUST1299,PROD007,Bookshelf,Furniture,West,1,8500,1275,7225,5000,2225,Cancelled,Failed
